title,date,publication,remove_tags,add_tags,source,notes
Local and General,8 July 1893,Nepean Times,Hotels,hotel,high_impact_mappings,Corrected mapping to generic singular leaf
Katoomba Court.,16 June 1893,Katoomba Times,Hotels,hotel,high_impact_mappings,Corrected mapping to generic singular leaf
Mountain Mixtures.,2 June 1893,Katoomba Times,Hotels,hotel,high_impact_mappings,Corrected mapping to generic singular leaf
Mountain Mixtures.,2 December 1892,Katoomba Times,Hotels,hotel,high_impact_mappings,Corrected mapping to generic singular leaf
Mountain Mixtures.,18 November 1892,Katoomba Times,Hotels,hotel,high_impact_mappings,Corrected mapping to generic singular leaf
Licensing.,1 October 1892,Nepean Times,Hotels,hotel,high_impact_mappings,Corrected mapping to generic singular leaf
Mountain Mixtures.,11 March 1892,Katoomba Times,Hotels,hotel,high_impact_mappings,Corrected mapping to generic singular leaf
Testimonial to a Mine Manager.,9 August 1890,Katoomba Times,Hotels,hotel,high_impact_mappings,Corrected mapping to generic singular leaf
Katoomba Municipal Elections.,5 July 1890,Katoomba Times,Hotels,hotel,high_impact_mappings,Corrected mapping to generic singular leaf
Katoomba.,7 January 1888,Nepean Times,Hotels,hotel,high_impact_mappings,Corrected mapping to generic singular leaf
Katoomba.,29 September 1888,Nepean Times,Hotels,hotel,high_impact_mappings,Corrected mapping to generic singular leaf
Katoomba Athletic Sports.,12 December 1885,Nepean Times,Hotels,hotel,high_impact_mappings,Corrected mapping to generic singular leaf
Advertising,20 November 1885,Sydney Morning Herald,Hotels,hotel,high_impact_mappings,Corrected mapping to generic singular leaf
"Opening of the Gladstone Coal-Mine, Katoomba.",13 July 1885,Sydney Morning Herald,Hotels,hotel,high_impact_mappings,Corrected mapping to generic singular leaf
Katoomba Court.,17 March 1893,Katoomba Times,Hotels,hotel,high_impact_mappings,Corrected mapping to generic singular leaf
Katoomba.,14 July 1888,Nepean Times,Hotels,hotel,high_impact_mappings,Corrected mapping to generic singular leaf
Katoomba.,21 April 1903,Lithgow Mercury,Hotels,hotel,high_impact_mappings,Corrected mapping to generic singular leaf
Katoomba.,19 December 1885,Nepean Times,Hotels,hotel,high_impact_mappings,Corrected mapping to generic singular leaf
Megalong Valley.,27 October 1893,Katoomba Times,Hotels,hotel,high_impact_mappings,Corrected mapping to generic singular leaf
Katoomba.,24 February 1883,Nepean Times,Hotels,hotel,high_impact_mappings,Corrected mapping to generic singular leaf
Notice of Application for a Conditional Publican's Licence,9 June 1893,Katoomba Times,Hotels,hotel,high_impact_mappings,Corrected mapping to generic singular leaf
The Megalong Hotel,21 September 1894,Mountaineer,Hotels,hotel,high_impact_mappings,Corrected mapping to generic singular leaf
Town Talk.,13 May 1904,Blue Mountain Gazette,Death,death,high_impact_mappings,Corrected mapping to generic singular leaf
Local Jottings.,19 July 1890,Katoomba Times,Death,death,high_impact_mappings,Corrected mapping to generic singular leaf
Moutains Mixtures.,17 November 1893,Katoomba Times,Death,death,high_impact_mappings,Corrected mapping to generic singular leaf
Mountain Mixtures.,4 December 1891,Katoomba Times,Death,death,high_impact_mappings,Corrected mapping to generic singular leaf
Hartley Vale.,13 February 1911,Lithgow Mercury,Death,death,high_impact_mappings,Corrected mapping to generic singular leaf
Local Jottings.,25 May 1889,Katoomba Times,Death,death,high_impact_mappings,Corrected mapping to generic singular leaf
Mountain Mixtures.,20 November 1891,Katoomba Times,Death,death,high_impact_mappings,Corrected mapping to generic singular leaf
