title,date,publication,remove_tags,add_tags,source,notes
Funerals,9 November 1937,Newcastle Morning Herald and Miners' Advocate,Death,death,high_impact_mappings,Corrected mapping to generic singular leaf
Funerals. Eaton.,22 August 1939,Sydney Morning Herald,Death,death,high_impact_mappings,Corrected mapping to generic singular leaf
Funeral Notice,2 August 1934,Katoomba Daily,Death,death,high_impact_mappings,Corrected mapping to generic singular leaf
Mrs. G. Battram.,24 April 1936,Newcastle Morning Herald and Miners' Advocate,Death,death,high_impact_mappings,Corrected mapping to generic singular leaf
Alfred Jones,22 May 1936,Dungog Chronicle,Death,death,high_impact_mappings,Corrected mapping to generic singular leaf
Obituary.,2 April 1937,South Coast Times and Wollongong Argus,Death,death,high_impact_mappings,Corrected mapping to generic singular leaf
Colliery Fatality. The Death of Mr. W. Meredith,23 November 1926,Toowoomba Chronicle and Darling Downs Gazette,Death,death,high_impact_mappings,Corrected mapping to generic singular leaf
Holmesville,13 August 1924,Newcastle Morning Herald and Miners' Advocate,Death,death,high_impact_mappings,Corrected mapping to generic singular leaf
Meredith,9 September 1920,Daily Telegraph,Death,death,high_impact_mappings,Corrected mapping to generic singular leaf
District Casualities.,27 August 1918,Newcastle Morning Herald and Miners' Advocate,Death,death,high_impact_mappings,Corrected mapping to generic singular leaf
Roll of Honor.,3 August 1917,South Coast Times and Wollongong Argus,Death,death,high_impact_mappings,Corrected mapping to generic singular leaf
"Deserting Wives and Families, Service, etc.",27 October 1915,New South Wales Police Gazette and Weekly Record of Crime,Death,death,high_impact_mappings,Corrected mapping to generic singular leaf
Death of Major Gordon,5 May 1915,North Western Courier,Death,death,high_impact_mappings,Corrected mapping to generic singular leaf
The Late Major Gordon,6 October 1915,North Western Courier,Death,death,high_impact_mappings,Corrected mapping to generic singular leaf
Scarborough.,21 February 1911,Illawarra Mercury,Death,death,high_impact_mappings,Corrected mapping to generic singular leaf
West Wallsend.,10 October 1911,Newcastle Morning Herald and Miners' Advocate,Death,death,high_impact_mappings,Corrected mapping to generic singular leaf
Death of Mrs Waudby.,7 May 1910,Blue Mountain Echo,Death,death,high_impact_mappings,Corrected mapping to generic singular leaf
South Clifton Fatality,31 May 1910,Illawarra Mercury,Death,death,high_impact_mappings,Corrected mapping to generic singular leaf
"Births, Marriages, and Deaths.",15 December 1905,Australian Star,Death,death,high_impact_mappings,Corrected mapping to generic singular leaf
Obituary.,15 September 1904,Great Southern Advocate,Death,death,high_impact_mappings,Corrected mapping to generic singular leaf
Town Talk.,22 Jul 1904,Blue Mountain Gazette,Death,death,high_impact_mappings,Corrected mapping to generic singular leaf
In the Intestate of Jane Ann Austin,3 April 1903,Mountaineer,Death,death,high_impact_mappings,Corrected mapping to generic singular leaf
LOST IN A SHALE MINE.,15 April 1903,Evening News,Death,death,high_impact_mappings,Corrected mapping to generic singular leaf
The Muont (sic) Kembla Disaster.,8 August 1902,Mountaineer,Death,death,high_impact_mappings,Corrected mapping to generic singular leaf
The Inquest,13 July 1900,Mountaineer,Death,death,high_impact_mappings,Corrected mapping to generic singular leaf
Katoomba.,9 July 1901,Lithgow Mercury,Death,death,high_impact_mappings,Corrected mapping to generic singular leaf
Funerals.,18 September 1900,Newcastle Morning Herald and Miners' Advocate,Death,death,high_impact_mappings,Corrected mapping to generic singular leaf
Death of Canon Kemmis.,25 March 1897,Sydney Morning Herald,Death,death,high_impact_mappings,Corrected mapping to generic singular leaf
The Inquest.,3 July 1896,Mountaineer,Death,death,high_impact_mappings,Corrected mapping to generic singular leaf
Katoomba Coal and Shale Mines.,7 June 1895,Mountaineer,Death,death,high_impact_mappings,Corrected mapping to generic singular leaf
Katoomba Court.,16 June 1893,Katoomba Times,Death,death,high_impact_mappings,Corrected mapping to generic singular leaf
Mountain Mixtures.,5 May 1893,Katoomba Times,Death,death,high_impact_mappings,Corrected mapping to generic singular leaf
Mountain Mixtures.,2 June 1893,Katoomba Times,Death,death,high_impact_mappings,Corrected mapping to generic singular leaf
Found dead.,28 January 1893,Nepean Times,Death,death,high_impact_mappings,Corrected mapping to generic singular leaf
Mountain Mixtures.,18 November 1892,Katoomba Times,Death,death,high_impact_mappings,Corrected mapping to generic singular leaf
Katoomba.,28 January 1888,Nepean Times,Death,death,high_impact_mappings,Corrected mapping to generic singular leaf
Death of Mr. J. C. Brydon.,4 October 1886,Newcastle Morning Herald and Miners' Advocate,Death,death,high_impact_mappings,Corrected mapping to generic singular leaf
Katoomba.,24 February 1883,Nepean Times,Death,death,high_impact_mappings,Corrected mapping to generic singular leaf
NARROW ESCAPE OF SHALE STACK.,6 January 1905,Daily Telegraph,Weather,weather,high_impact_mappings,Corrected mapping to generic singular leaf
Katoomba Items.,28 April 1899,Lithgow Mercury,Weather,weather,high_impact_mappings,Corrected mapping to generic singular leaf
Local Jottings.,26 April 1890,Katoomba Times,Weather,weather,high_impact_mappings,Corrected mapping to generic singular leaf
Mountain Mixtures.,7 July 1893,Katoomba Times,Weather,weather,high_impact_mappings,Corrected mapping to generic singular leaf
Mountain Mixtures.,9 September 1892,Katoomba Times,Weather,weather,high_impact_mappings,Corrected mapping to generic singular leaf
Jottings.,23 May 1891,Katoomba Times,Weather,weather,high_impact_mappings,Corrected mapping to generic singular leaf
Local Jottings.,19 July 1890,Katoomba Times,Weather,weather,high_impact_mappings,Corrected mapping to generic singular leaf
Town Talk.,13 March 1903,Blue Mountain Gazette,Weather,weather,high_impact_mappings,Corrected mapping to generic singular leaf
